ticker,open,close,high,low,volume,date,time_milliseconds
TSLA,432.64,424.07,433.2,406.31,87320894,2025-01-21 05:00:00,1737435600000
TSLA,416.81,415.11,428.0,414.59,60963342,2025-01-22 05:00:00,1737522000000
TSLA,416.06,412.38,420.73,408.95,50690592,2025-01-23 05:00:00,1737608400000
TSLA,414.45,406.58,418.88,405.78,56427149,2025-01-24 05:00:00,1737694800000
TSLA,394.8,397.15,406.69,389.0,58125510,2025-01-27 05:00:00,1737954000000
TSLA,396.91,398.09,400.59,386.5,48910676,2025-01-28 05:00:00,1738040400000
TSLA,395.21,389.1,398.59,384.48,68033648,2025-01-29 05:00:00,1738126800000
TSLA,410.78,400.28,412.5,384.41,98092879,2025-01-30 05:00:00,1738213200000
TSLA,401.53,404.6,419.99,401.34,83568219,2025-01-31 05:00:00,1738299600000
TSLA,386.68,383.68,389.17,374.36,93732122,2025-02-03 05:00:00,1738558800000
TSLA,382.63,392.21,394.0,381.4,57072235,2025-02-04 05:00:00,1738645200000
TSLA,387.51,378.17,388.39,375.53,57614721,2025-02-05 05:00:00,1738731600000
TSLA,373.03,374.32,375.4,363.18,77918230,2025-02-06 05:00:00,1738818000000
TSLA,370.19,361.62,380.55,360.34,70298258,2025-02-07 05:00:00,1738904400000
TSLA,356.21,350.73,362.7,350.51,77514903,2025-02-10 05:00:00,1739163600000
TSLA,345.8,328.5,349.37,325.1,118543400,2025-02-11 05:00:00,1739250000000
TSLA,329.94,336.51,346.4,329.12,105382729,2025-02-12 05:00:00,1739336400000
TSLA,345.0,355.94,358.69,342.85,89441519,2025-02-13 05:00:00,1739422800000
TSLA,360.62,355.84,362.0,347.5,68277279,2025-02-14 05:00:00,1739509200000
TSLA,355.01,354.11,359.1,350.02,51631702,2025-02-18 05:00:00,1739854800000
TSLA,354.0,360.56,367.34,353.67,67094374,2025-02-19 05:00:00,1739941200000
TSLA,361.51,354.4,362.3,348.0,45965354,2025-02-20 05:00:00,1740027600000
TSLA,353.44,337.8,354.98,334.42,74058648,2025-02-21 05:00:00,1740114000000
TSLA,338.14,330.53,342.4,324.7,76052321,2025-02-24 05:00:00,1740373200000
TSLA,327.02,302.8,328.89,297.25,134228777,2025-02-25 05:00:00,1740459600000
TSLA,303.71,290.8,309.0,288.04,100118276,2025-02-26 05:00:00,1740546000000
TSLA,291.16,281.95,297.23,280.88,101748197,2025-02-27 05:00:00,1740632400000
TSLA,279.5,292.98,293.88,273.6,115696968,2025-02-28 05:00:00,1740718800000
TSLA,300.34,284.65,303.94,277.3,115551414,2025-03-03 05:00:00,1740978000000
TSLA,270.93,272.04,284.35,261.84,126706623,2025-03-04 05:00:00,1741064400000
TSLA,272.92,279.1,279.55,267.71,94042913,2025-03-05 05:00:00,1741150800000
TSLA,272.06,263.45,272.65,260.02,98451566,2025-03-06 05:00:00,1741237200000
TSLA,259.32,262.67,266.25,250.73,102369640,2025-03-07 05:00:00,1741323600000
TSLA,252.53,222.15,253.37,220.0,189076948,2025-03-10 04:00:00,1741579200000
TSLA,225.31,230.58,237.06,217.02,174896415,2025-03-11 04:00:00,1741665600000
TSLA,247.22,248.09,251.84,241.1,142215681,2025-03-12 04:00:00,1741752000000
TSLA,248.12,240.68,248.29,232.6,114813525,2025-03-13 04:00:00,1741838400000
TSLA,247.31,249.98,251.58,240.73,100242264,2025-03-14 04:00:00,1741924800000
TSLA,245.06,238.01,245.4,232.8,111900565,2025-03-17 04:00:00,1742184000000
TSLA,228.16,225.31,230.1,222.28,111477636,2025-03-18 04:00:00,1742270400000
TSLA,231.61,235.86,241.41,229.2,111993753,2025-03-19 04:00:00,1742356800000
TSLA,233.34,236.26,238.0,230.05,99028270,2025-03-20 04:00:00,1742443200000
TSLA,234.99,248.71,249.52,234.55,132728684,2025-03-21 04:00:00,1742529600000
TSLA,258.07,278.39,278.64,256.33,169079865,2025-03-24 04:00:00,1742788800000
TSLA,283.6,288.14,288.2,271.28,150361538,2025-03-25 04:00:00,1742875200000
TSLA,282.66,272.06,284.9,266.51,156254441,2025-03-26 04:00:00,1742961600000
TSLA,272.48,273.13,291.85,271.82,162572146,2025-03-27 04:00:00,1743048000000
TSLA,275.57,263.55,276.1,260.57,123809389,2025-03-28 04:00:00,1743134400000
TSLA,249.31,259.16,260.56,243.36,134008936,2025-03-31 04:00:00,1743393600000
TSLA,263.8,268.46,277.45,259.25,146486911,2025-04-01 04:00:00,1743480000000
TSLA,254.6,282.76,284.99,251.27,212787817,2025-04-02 04:00:00,1743566400000
TSLA,265.29,267.28,276.3,261.51,136174291,2025-04-03 04:00:00,1743652800000
TSLA,255.38,239.43,261.0,236.0,181229353,2025-04-04 04:00:00,1743739200000
TSLA,223.78,233.29,252.0,214.25,183453776,2025-04-07 04:00:00,1743998400000
TSLA,245.0,221.86,250.44,217.8,171603472,2025-04-08 04:00:00,1744084800000
TSLA,224.69,272.2,274.69,223.88,219433373,2025-04-09 04:00:00,1744171200000
TSLA,260.0,252.4,262.49,239.33,181722604,2025-04-10 04:00:00,1744257600000
TSLA,251.84,252.31,257.74,241.36,128948085,2025-04-11 04:00:00,1744344000000
TSLA,258.36,252.35,261.8,245.93,100135241,2025-04-14 04:00:00,1744603200000
TSLA,249.91,254.11,258.75,247.54,79594318,2025-04-15 04:00:00,1744689600000
TSLA,247.61,241.55,251.97,233.89,112378737,2025-04-16 04:00:00,1744776000000
TSLA,243.47,241.37,244.34,237.68,83404775,2025-04-17 04:00:00,1744862400000
TSLA,230.26,227.5,232.21,222.79,97768007,2025-04-21 04:00:00,1745208000000
TSLA,230.96,237.97,242.79,229.85,120858452,2025-04-22 04:00:00,1745294400000
TSLA,254.86,250.74,259.45,244.43,150381903,2025-04-23 04:00:00,1745380800000
TSLA,250.5,259.51,259.54,249.2,94464195,2025-04-24 04:00:00,1745467200000
TSLA,261.69,284.95,286.85,259.63,167560688,2025-04-25 04:00:00,1745553600000
TSLA,288.98,285.88,294.86,272.42,151731771,2025-04-28 04:00:00,1745812800000
TSLA,285.5,292.03,293.32,279.47,108906553,2025-04-29 04:00:00,1745899200000
TSLA,279.9,282.16,284.45,270.78,128961057,2025-04-30 04:00:00,1745985600000
TSLA,280.01,280.52,290.87,279.81,99658974,2025-05-01 04:00:00,1746072000000
TSLA,284.9,287.21,294.78,279.81,114454683,2025-05-02 04:00:00,1746158400000
TSLA,284.57,280.26,284.85,274.4,94618882,2025-05-05 04:00:00,1746417600000
TSLA,273.11,275.35,277.73,271.35,76715792,2025-05-06 04:00:00,1746504000000
TSLA,276.88,276.22,277.92,271.0,71882408,2025-05-07 04:00:00,1746590400000
TSLA,279.63,284.82,289.8,279.41,97539448,2025-05-08 04:00:00,1746676800000
TSLA,290.21,298.26,307.04,290.0,132387835,2025-05-09 04:00:00,1746763200000
TSLA,321.99,318.38,322.21,311.5,112826661,2025-05-12 04:00:00,1747022400000
TSLA,320.0,334.07,337.59,316.8,136992574,2025-05-13 04:00:00,1747108800000
TSLA,342.5,347.68,350.0,337.0,136997264,2025-05-14 04:00:00,1747195200000
TSLA,340.34,342.82,346.14,334.72,97882596,2025-05-15 04:00:00,1747281600000
TSLA,346.24,349.98,351.62,342.33,95895665,2025-05-16 04:00:00,1747368000000
TSLA,336.3,342.09,343.0,333.37,88869853,2025-05-19 04:00:00,1747627200000
TSLA,347.87,343.82,354.99,341.63,131715548,2025-05-20 04:00:00,1747713600000
TSLA,344.43,334.62,347.35,332.2,102354844,2025-05-21 04:00:00,1747800000000
TSLA,331.9,341.04,347.27,331.39,97113416,2025-05-22 04:00:00,1747886400000
TSLA,337.92,339.34,343.18,333.21,84654818,2025-05-23 04:00:00,1747972800000
TSLA,347.35,362.89,363.79,347.32,120146414,2025-05-27 04:00:00,1748318400000
TSLA,364.84,356.9,365.0,355.91,91404309,2025-05-28 04:00:00,1748404800000
TSLA,365.29,358.43,367.71,356.0,88545666,2025-05-29 04:00:00,1748491200000
TSLA,355.52,346.46,363.68,345.29,123474938,2025-05-30 04:00:00,1748577600000
TSLA,343.5,342.69,348.02,333.33,81873829,2025-06-02 04:00:00,1748836800000
TSLA,346.6,344.27,355.4,343.04,99324544,2025-06-03 04:00:00,1748923200000
TSLA,345.1,332.05,345.6,327.33,98912075,2025-06-04 04:00:00,1749009600000
TSLA,322.49,284.7,324.55,273.21,292818655,2025-06-05 04:00:00,1749096000000
TSLA,298.83,295.14,305.5,291.14,164747685,2025-06-06 04:00:00,1749182400000
TSLA,285.95,308.58,309.83,281.85,140908876,2025-06-09 04:00:00,1749441600000
TSLA,314.94,326.09,327.83,310.67,151256520,2025-06-10 04:00:00,1749528000000
TSLA,334.39,326.43,335.5,322.5,122611360,2025-06-11 04:00:00,1749614400000
TSLA,323.07,319.11,332.56,316.86,105127536,2025-06-12 04:00:00,1749700800000
TSLA,313.97,325.31,332.99,313.3,128964279,2025-06-13 04:00:00,1749787200000
TSLA,331.29,329.13,332.05,326.41,83925858,2025-06-16 04:00:00,1750046400000
TSLA,326.09,316.35,327.26,314.74,88282669,2025-06-17 04:00:00,1750132800000
TSLA,317.31,322.05,329.32,315.45,95137686,2025-06-18 04:00:00,1750219200000
TSLA,327.95,322.16,332.36,317.78,108688008,2025-06-20 04:00:00,1750392000000
TSLA,327.54,348.68,357.54,327.48,190716815,2025-06-23 04:00:00,1750651200000
TSLA,356.17,340.47,356.26,340.44,114736245,2025-06-24 04:00:00,1750737600000
TSLA,342.7,327.55,343.0,320.4,119845050,2025-06-25 04:00:00,1750824000000
TSLA,324.61,325.78,331.05,323.61,80440907,2025-06-26 04:00:00,1750910400000
TSLA,324.51,323.63,329.34,317.5,89067049,2025-06-27 04:00:00,1750996800000
TSLA,319.9,317.66,325.58,316.6,76695081,2025-06-30 04:00:00,1751256000000
TSLA,298.46,300.71,305.89,293.21,145085665,2025-07-01 04:00:00,1751342400000
TSLA,312.63,315.65,316.83,303.82,119483730,2025-07-02 04:00:00,1751428800000
TSLA,317.99,315.35,318.45,312.76,58042302,2025-07-03 04:00:00,1751515200000
TSLA,291.37,293.94,296.15,288.77,131177949,2025-07-07 04:00:00,1751860800000
TSLA,297.0,297.81,304.05,294.35,103246742,2025-07-08 04:00:00,1751947200000
TSLA,297.55,295.88,300.15,293.55,75586771,2025-07-09 04:00:00,1752033600000
TSLA,300.05,309.87,310.48,300.0,104365271,2025-07-10 04:00:00,1752120000000
TSLA,307.89,313.51,314.09,305.65,79236442,2025-07-11 04:00:00,1752206400000
TSLA,317.73,316.9,322.6,312.67,78043430,2025-07-14 04:00:00,1752465600000
TSLA,319.68,310.78,321.2,310.5,77556346,2025-07-15 04:00:00,1752552000000
TSLA,312.8,321.67,323.5,312.62,97284786,2025-07-16 04:00:00,1752638400000
TSLA,323.15,319.41,324.34,317.06,73922870,2025-07-17 04:00:00,1752724800000
TSLA,321.66,329.65,330.9,321.42,94254993,2025-07-18 04:00:00,1752811200000
TSLA,334.4,328.49,338.0,326.88,75768797,2025-07-21 04:00:00,1753070400000
TSLA,329.74,332.11,335.41,321.55,77370371,2025-07-22 04:00:00,1753156800000
TSLA,330.9,332.56,336.2,328.67,92553756,2025-07-23 04:00:00,1753243200000
TSLA,310.0,305.3,310.15,300.41,156966023,2025-07-24 04:00:00,1753329600000
TSLA,308.74,316.06,323.63,308.01,148227027,2025-07-25 04:00:00,1753416000000
TSLA,318.45,325.59,330.49,315.69,112673755,2025-07-28 04:00:00,1753675200000
TSLA,325.55,321.2,326.25,318.25,87358861,2025-07-29 04:00:00,1753761600000
TSLA,322.18,319.04,324.45,311.62,83931942,2025-07-30 04:00:00,1753848000000
TSLA,319.61,308.27,321.37,306.1,85270919,2025-07-31 04:00:00,1753934400000
TSLA,306.2,302.63,309.31,297.82,89121446,2025-08-01 04:00:00,1754020800000
TSLA,309.08,309.26,312.12,303.0,78683905,2025-08-04 04:00:00,1754280000000
TSLA,308.95,308.72,312.45,305.5,57961278,2025-08-05 04:00:00,1754366400000
TSLA,307.89,319.91,320.47,306.93,78523579,2025-08-06 04:00:00,1754452800000
TSLA,319.79,322.27,322.4,316.16,66658672,2025-08-07 04:00:00,1754539200000
TSLA,321.43,329.65,335.15,320.98,91200319,2025-08-08 04:00:00,1754625600000
TSLA,335.0,339.03,346.64,334.15,105320174,2025-08-11 04:00:00,1754884800000
TSLA,345.0,340.84,345.26,332.94,80690111,2025-08-12 04:00:00,1754971200000
TSLA,341.5,339.38,348.98,338.2,67838892,2025-08-13 04:00:00,1755057600000
TSLA,335.76,335.58,340.47,330.4,75000662,2025-08-14 04:00:00,1755144000000
TSLA,337.65,330.56,339.3,327.02,74319792,2025-08-15 04:00:00,1755230400000
TSLA,329.62,335.16,336.27,329.59,56956552,2025-08-18 04:00:00,1755489600000
TSLA,335.79,329.31,340.55,327.85,75956002,2025-08-19 04:00:00,1755576000000
TSLA,329.22,323.9,331.37,314.6,77481768,2025-08-20 04:00:00,1755662400000
TSLA,322.08,320.11,324.9,318.68,55744445,2025-08-21 04:00:00,1755748800000
TSLA,321.66,340.01,340.25,319.69,94016347,2025-08-22 04:00:00,1755835200000
TSLA,338.9,346.6,349.53,335.03,86670037,2025-08-25 04:00:00,1756094400000
TSLA,344.93,351.67,351.9,343.72,76651550,2025-08-26 04:00:00,1756180800000
TSLA,351.94,349.6,355.39,349.16,65519012,2025-08-27 04:00:00,1756267200000
TSLA,350.91,345.98,353.55,340.26,67903224,2025-08-28 04:00:00,1756353600000
TSLA,347.23,333.87,348.75,331.7,81145660,2025-08-29 04:00:00,1756440000000
TSLA,328.23,329.36,333.33,325.6,58391952,2025-09-02 04:00:00,1756785600000
TSLA,335.2,334.09,343.33,328.51,88733288,2025-09-03 04:00:00,1756872000000
TSLA,336.15,338.53,338.89,331.48,60711033,2025-09-04 04:00:00,1756958400000
TSLA,348.0,350.84,355.87,344.68,108989785,2025-09-05 04:00:00,1757044800000
TSLA,354.64,346.4,358.44,344.84,75208290,2025-09-08 04:00:00,1757304000000
TSLA,348.44,346.97,350.77,343.82,53815991,2025-09-09 04:00:00,1757390400000
TSLA,350.55,347.79,356.33,346.07,72121679,2025-09-10 04:00:00,1757476800000
TSLA,350.17,368.81,368.99,347.6,103756010,2025-09-11 04:00:00,1757563200000
TSLA,370.94,395.94,396.69,370.24,168156391,2025-09-12 04:00:00,1757649600000
TSLA,423.13,410.04,425.7,402.43,163823667,2025-09-15 04:00:00,1757908800000
TSLA,414.5,421.62,423.25,411.43,104285721,2025-09-16 04:00:00,1757995200000
TSLA,415.75,425.86,428.31,409.67,106133532,2025-09-17 04:00:00,1758081600000
TSLA,428.87,416.85,432.22,416.56,90454509,2025-09-18 04:00:00,1758168000000
TSLA,421.82,426.07,429.47,421.72,93131034,2025-09-19 04:00:00,1758254400000
TSLA,431.11,434.21,444.98,429.13,97108777,2025-09-22 04:00:00,1758513600000
TSLA,439.88,425.85,440.97,423.72,83422691,2025-09-23 04:00:00,1758600000000
TSLA,429.83,442.79,444.21,429.03,93133570,2025-09-24 04:00:00,1758686400000
TSLA,435.24,423.39,435.35,419.08,96746426,2025-09-25 04:00:00,1758772800000
TSLA,428.3,440.4,440.47,421.02,101628160,2025-09-26 04:00:00,1758859200000
TSLA,444.35,443.21,450.98,439.5,79491510,2025-09-29 04:00:00,1759118400000
TSLA,441.52,444.72,445.0,433.12,74357960,2025-09-30 04:00:00,1759204800000
TSLA,443.8,459.46,462.29,440.75,98122285,2025-10-01 04:00:00,1759291200000
TSLA,470.54,436.0,470.75,435.57,137008950,2025-10-02 04:00:00,1759377600000
TSLA,443.29,429.83,446.77,416.57,133188180,2025-10-03 04:00:00,1759464000000
TSLA,440.75,453.25,453.55,436.69,85324878,2025-10-06 04:00:00,1759723200000
TSLA,447.82,433.09,452.68,432.45,102296082,2025-10-07 04:00:00,1759809600000
TSLA,437.57,438.69,441.33,425.23,71192128,2025-10-08 04:00:00,1759896000000
TSLA,431.81,435.54,436.35,426.18,69339928,2025-10-09 04:00:00,1759982400000
TSLA,436.54,413.49,443.13,411.45,112107870,2025-10-10 04:00:00,1760068800000
TSLA,423.53,435.9,436.89,419.7,79552785,2025-10-13 04:00:00,1760328000000
TSLA,426.79,429.24,434.2,417.86,72669438,2025-10-14 04:00:00,1760414400000
TSLA,434.9,435.15,440.51,426.33,71558185,2025-10-15 04:00:00,1760500800000
TSLA,434.73,428.75,439.35,421.31,77189889,2025-10-16 04:00:00,1760587200000
TSLA,425.5,439.31,441.46,423.6,89331578,2025-10-17 04:00:00,1760673600000
TSLA,443.87,447.43,449.8,440.61,63718971,2025-10-20 04:00:00,1760932800000
TSLA,445.75,442.6,449.3,442.05,54412169,2025-10-21 04:00:00,1761019200000
TSLA,443.45,438.97,445.54,429.0,84023458,2025-10-22 04:00:00,1761105600000
TSLA,420.0,448.98,449.4,413.9,126709833,2025-10-23 04:00:00,1761192000000
TSLA,446.83,433.72,451.68,430.17,94727774,2025-10-24 04:00:00,1761278400000
TSLA,439.98,452.42,460.16,438.69,105867547,2025-10-27 04:00:00,1761537600000
TSLA,454.77,460.55,467.0,451.6,80185667,2025-10-28 04:00:00,1761624000000
TSLA,462.5,461.51,465.7,452.65,67983544,2025-10-29 04:00:00,1761710400000
TSLA,451.05,440.1,455.06,439.61,72447938,2025-10-30 04:00:00,1761796800000
TSLA,446.75,456.56,458.0,443.69,83135787,2025-10-31 04:00:00,1761883200000
TSLA,455.99,468.37,474.07,453.8,84595244,2025-11-03 05:00:00,1762146000000
TSLA,454.46,444.26,460.22,443.6,87756644,2025-11-04 05:00:00,1762232400000
TSLA,452.05,462.07,466.33,440.71,85573015,2025-11-05 05:00:00,1762318800000
TSLA,461.96,445.91,467.45,435.09,109622907,2025-11-06 05:00:00,1762405200000
TSLA,437.92,429.52,439.36,421.88,103471495,2025-11-07 05:00:00,1762491600000
TSLA,439.6,445.23,449.67,433.36,76515907,2025-11-10 05:00:00,1762750800000
TSLA,439.4,439.62,442.49,432.36,60533237,2025-11-11 05:00:00,1762837200000
TSLA,442.15,430.6,442.33,426.56,58513520,2025-11-12 05:00:00,1762923600000
TSLA,423.13,401.99,424.5,396.34,118948032,2025-11-13 05:00:00,1763010000000
TSLA,386.3,404.35,412.19,382.78,105506682,2025-11-14 05:00:00,1763096400000
TSLA,398.74,408.92,423.96,398.74,102214259,2025-11-17 05:00:00,1763355600000
TSLA,405.38,401.25,408.9,393.71,80688637,2025-11-18 05:00:00,1763442000000
TSLA,406.18,403.99,411.78,398.5,72047704,2025-11-19 05:00:00,1763528400000
TSLA,414.63,395.23,428.94,394.74,113548827,2025-11-20 05:00:00,1763614800000
TSLA,402.32,391.09,402.8,383.76,100460633,2025-11-21 05:00:00,1763701200000
TSLA,402.17,417.78,421.72,401.09,96704962,2025-11-24 05:00:00,1763960400000
TSLA,414.42,419.4,420.48,405.95,71820316,2025-11-25 05:00:00,1764046800000
TSLA,423.95,426.58,426.94,416.89,63368718,2025-11-26 05:00:00,1764133200000
TSLA,426.59,430.17,432.93,426.2,36190538,2025-11-28 05:00:00,1764306000000
TSLA,425.32,430.14,433.66,425.29,57381856,2025-12-01 05:00:00,1764565200000
TSLA,430.81,429.24,436.8,422.12,69193316,2025-12-02 05:00:00,1764651600000
TSLA,432.1,446.74,447.92,431.11,87300360,2025-12-03 05:00:00,1764738000000
TSLA,449.94,454.53,454.63,445.39,71850843,2025-12-04 05:00:00,1764824400000
TSLA,453.03,455.0,458.87,451.66,56406760,2025-12-05 05:00:00,1764910800000
TSLA,447.44,439.58,449.75,435.25,69085419,2025-12-08 05:00:00,1765170000000
TSLA,437.54,445.17,452.39,435.7,62315078,2025-12-09 05:00:00,1765256400000
TSLA,446.06,451.45,456.88,443.61,63211734,2025-12-10 05:00:00,1765342800000
TSLA,448.94,446.89,449.27,440.33,55902013,2025-12-11 05:00:00,1765429200000
TSLA,448.09,458.96,463.01,441.67,95532780,2025-12-12 05:00:00,1765515600000
TSLA,469.44,475.31,481.77,467.66,114300148,2025-12-15 05:00:00,1765774800000
TSLA,472.21,489.88,491.5,465.83,107509423,2025-12-16 05:00:00,1765861200000
TSLA,488.22,467.26,495.28,466.2,106297016,2025-12-17 05:00:00,1765947600000
TSLA,478.16,483.37,490.86,473.12,95039715,2025-12-18 05:00:00,1766034000000
TSLA,488.12,481.2,490.49,474.72,103146024,2025-12-19 05:00:00,1766120400000
TSLA,489.88,488.73,498.83,485.33,86915082,2025-12-22 05:00:00,1766379600000
TSLA,489.39,485.56,491.97,482.84,58223133,2025-12-23 05:00:00,1766466000000
TSLA,488.48,485.4,490.9,476.8,41285071,2025-12-24 05:00:00,1766552400000
TSLA,485.23,475.19,489.09,473.82,58775326,2025-12-26 05:00:00,1766725200000
TSLA,469.0,459.64,469.4,459.0,66217821,2025-12-29 05:00:00,1766984400000
TSLA,461.09,454.43,463.12,453.83,59173387,2025-12-30 05:00:00,1767070800000
TSLA,456.1,449.72,456.55,449.3,49072714,2025-12-31 05:00:00,1767157200000
TSLA,457.8,438.07,458.34,435.3,85351571,2026-01-02 05:00:00,1767330000000
TSLA,447.99,451.67,457.55,444.57,67803839,2026-01-05 05:00:00,1767589200000
TSLA,446.38,432.96,448.25,428.78,88672541,2026-01-06 05:00:00,1767675600000
TSLA,435.9,431.41,438.37,431.29,59674010,2026-01-07 05:00:00,1767762000000
TSLA,427.89,435.8,436.89,424.37,56886003,2026-01-08 05:00:00,1767848400000
TSLA,435.94,445.01,449.05,430.39,65690572,2026-01-09 05:00:00,1767934800000
TSLA,441.23,448.96,454.3,438.0,61496150,2026-01-12 05:00:00,1768194000000
TSLA,450.2,447.2,451.81,443.95,53427497,2026-01-13 05:00:00,1768280400000
TSLA,442.81,439.2,443.91,434.22,57104944,2026-01-14 05:00:00,1768366800000
TSLA,441.12,438.57,445.36,437.65,49331069,2026-01-15 05:00:00,1768453200000
TSLA,439.5,437.5,447.25,435.26,60041258,2026-01-16 05:00:00,1768539600000
TSLA,429.36,419.25,430.73,417.44,62816042,2026-01-20 05:00:00,1768885200000
TSLA,420.42,421.75,422.74,420.42,85285,2026-01-21 05:00:00,1768971600000
