bb_period,bb_devfactor,rsi_period,rsi_oversold,rsi_overbought,use_midband,bb_touch_pct,final_value,total_return,sharpe_ratio,max_drawdown,total_trades,win_rate
15,2.0,10,35,75,False,0.01,138866.69429304285,38.86669429304285,0.5528772682187079,25.004633359479,12,33.33333333333333
15,2.0,10,35,70,False,0.01,123504.57551826259,23.504575518262588,0.6168554026023473,4.064090565620165,1,100.0
15,2.0,14,35,75,False,0.01,138866.69429304285,38.86669429304285,0.5528772682187079,25.004633359479,12,33.33333333333333
15,2.0,14,35,70,False,0.01,123504.57551826259,23.504575518262588,0.6168554026023473,4.064090565620165,1,100.0
15,2.5,14,35,75,False,0.01,138866.69429304285,38.86669429304285,0.5528772682187079,25.004633359479,12,33.33333333333333
15,1.5,10,35,75,False,0.01,141679.8667324778,41.67986673247779,0.6562112167363218,21.435191513689272,1,100.0
15,2.5,10,35,75,False,0.01,138866.69429304285,38.86669429304285,0.5528772682187079,25.004633359479,12,33.33333333333333
15,2.5,14,35,70,False,0.01,141155.62980762697,41.15562980762697,0.6555629133493819,4.064090565620165,2,100.0
15,2.5,10,35,70,False,0.01,138866.69429304285,38.86669429304285,0.5528772682187079,25.004633359479,12,33.33333333333333
15,1.5,10,35,70,False,0.01,144800.70712216478,44.80070712216478,0.659756628034386,4.064090565620165,2,100.0
15,1.5,14,35,75,False,0.01,138866.69429304285,38.86669429304285,0.5528772682187079,25.004633359479,12,33.33333333333333
15,2.0,10,35,65,False,0.01,141679.8667324778,41.67986673247779,0.6562112167363218,21.435191513689272,1,100.0
15,1.5,14,35,70,False,0.01,138866.69429304285,38.86669429304285,0.5528772682187079,25.004633359479,12,33.33333333333333
15,1.5,10,35,65,False,0.01,168499.26530514643,68.49926530514642,0.9730705142688679,9.199820157532287,4,100.0
15,2.0,10,30,70,False,0.01,138866.69429304285,38.86669429304285,0.5528772682187079,25.004633359479,12,33.33333333333333
15,2.0,14,30,75,False,0.01,185834.17197824406,85.83417197824407,0.9883666750336015,9.19982015753228,4,100.0
15,2.0,10,30,75,False,0.01,138866.69429304285,38.86669429304285,0.5528772682187079,25.004633359479,12,33.33333333333333
15,2.0,14,30,70,False,0.01,192747.23424221872,92.74723424221872,0.9273188936088943,21.435191513689258,3,66.66666666666666
15,2.0,10,25,75,False,0.01,150622.5443255752,50.622544325575205,0.6652021244407995,28.734416186280917,6,50.0
15,2.5,10,35,65,False,0.01,100000.0,0.0,0.0,0.0,0,0.0
15,2.5,14,35,65,False,0.01,150622.5443255752,50.622544325575205,0.6652021244407995,28.734416186280917,6,50.0
25,1.5,10,35,70,False,0.01,100000.0,0.0,0.0,0.0,0,0.0
20,1.5,10,35,70,False,0.01,150622.5443255752,50.622544325575205,0.6652021244407995,28.734416186280917,6,50.0
20,2.0,10,35,70,False,0.01,100000.0,0.0,0.0,0.0,0,0.0
20,1.5,10,35,75,False,0.01,150622.5443255752,50.622544325575205,0.6652021244407995,28.734416186280917,6,50.0
20,2.0,10,35,75,False,0.01,114042.18163869694,14.042181638696944,0.5560390626410342,21.435191513689272,1,100.0
25,1.5,10,35,75,False,0.01,150622.5443255752,50.622544325575205,0.6652021244407995,28.734416186280917,6,50.0
25,2.0,10,35,75,False,0.01,141679.8667324778,41.67986673247779,0.6562112167363218,21.435191513689272,1,100.0
20,2.5,10,35,75,False,0.01,150622.5443255752,50.622544325575205,0.6652021244407995,28.734416186280917,6,50.0
25,2.5,10,35,75,False,0.01,145052.6011846002,45.052601184600206,0.6600213679632873,21.435191513689272,1,100.0
25,2.5,10,30,75,False,0.01,150622.5443255752,50.622544325575205,0.6652021244407995,28.734416186280917,6,50.0
25,2.5,14,30,70,False,0.01,132947.87109905985,32.94787109905985,0.6427226412467693,21.435191513689258,2,100.0
25,2.5,14,30,75,False,0.01,150622.5443255752,50.622544325575205,0.6652021244407995,28.734416186280917,6,50.0
15,2.5,10,25,75,False,0.01,172484.31243312467,72.48431243312467,0.6778408576735555,21.435191513689258,2,100.0
25,2.5,14,35,70,False,0.01,150622.5443255752,50.622544325575205,0.6652021244407995,28.734416186280917,6,50.0
15,2.5,14,30,70,False,0.01,180468.16418615222,80.46816418615222,0.6807445500481278,21.435191513689272,2,100.0
15,2.5,10,30,75,False,0.01,90551.19509156058,-9.448804908439415,-0.9316135166007733,28.329227915031158,4,50.0
20,2.5,10,25,75,False,0.01,100000.0,0.0,0.0,0.0,0,0.0
20,2.5,14,35,70,False,0.01,90551.19509156058,-9.448804908439415,-0.9316135166007733,28.329227915031158,4,50.0
20,2.5,14,30,75,False,0.01,100000.0,0.0,0.0,0.0,0,0.0
15,2.5,14,30,75,False,0.01,90551.19509156058,-9.448804908439415,-0.9316135166007733,28.329227915031158,4,50.0
25,2.5,14,35,75,False,0.01,100000.0,0.0,0.0,0.0,0,0.0
20,2.5,10,30,75,False,0.01,90551.19509156058,-9.448804908439415,-0.9316135166007733,28.329227915031158,4,50.0
20,2.5,14,30,70,False,0.01,100000.0,0.0,0.0,0.0,0,0.0
25,2.5,10,25,75,False,0.01,90551.19509156058,-9.448804908439415,-0.9316135166007733,28.329227915031158,4,50.0
20,2.5,14,35,75,False,0.01,100000.0,0.0,0.0,0.0,0,0.0
20,2.0,10,35,65,False,0.01,90551.19509156058,-9.448804908439415,-0.9316135166007733,28.329227915031158,4,50.0
15,2.0,14,35,65,False,0.01,100000.0,0.0,0.0,0.0,0,0.0
25,2.5,10,35,70,False,0.01,90551.19509156058,-9.448804908439415,-0.9316135166007733,28.329227915031158,4,50.0
20,2.5,10,35,70,False,0.01,100000.0,0.0,0.0,0.0,0,0.0
20,1.5,10,35,65,False,0.01,90551.19509156058,-9.448804908439415,-0.9316135166007733,28.329227915031158,4,50.0
25,1.5,10,35,65,False,0.01,100000.0,0.0,0.0,0.0,0,0.0
15,2.0,14,30,65,True,0.01,90551.19509156058,-9.448804908439415,-0.9316135166007733,28.329227915031158,4,50.0
15,2.5,14,25,70,True,0.01,100000.0,0.0,0.0,0.0,0,0.0
15,2.5,14,25,65,True,0.01,138866.69429304285,38.86669429304285,0.5528772682187079,25.004633359479,12,33.33333333333333
15,1.5,14,25,70,True,0.01,123504.57551826259,23.504575518262588,0.6168554026023473,4.064090565620165,1,100.0
15,1.5,14,25,65,True,0.01,138866.69429304285,38.86669429304285,0.5528772682187079,25.004633359479,12,33.33333333333333
15,1.5,14,30,75,True,0.01,123504.57551826259,23.504575518262588,0.6168554026023473,4.064090565620165,1,100.0
15,1.5,14,35,65,True,0.01,138866.69429304285,38.86669429304285,0.5528772682187079,25.004633359479,12,33.33333333333333
15,1.5,14,30,65,True,0.01,163790.01480750248,63.79001480750248,0.6738520413975525,21.435191513689272,1,100.0
15,2.0,14,25,75,True,0.01,138866.69429304285,38.86669429304285,0.5528772682187079,25.004633359479,12,33.33333333333333
15,1.5,14,25,75,True,0.01,149243.14509925773,49.24314509925773,0.6640282909868706,4.09082289303989,2,100.0
15,1.5,14,30,70,True,0.01,138866.69429304285,38.86669429304285,0.5528772682187079,25.004633359479,12,33.33333333333333
15,2.5,14,25,75,True,0.01,166443.35367723316,66.44335367723315,0.6751800311632942,6.732265995372769,2,100.0
15,2.5,14,30,75,True,0.01,138866.69429304285,38.86669429304285,0.5528772682187079,25.004633359479,12,33.33333333333333
15,2.0,14,30,70,True,0.01,163790.01480750248,63.79001480750248,0.6738520413975525,21.435191513689272,1,100.0
15,2.0,14,25,70,True,0.01,138866.69429304285,38.86669429304285,0.5528772682187079,25.004633359479,12,33.33333333333333
15,1.5,14,35,70,True,0.01,178132.38729274084,78.13238729274083,0.9343455828338593,9.199820157532272,4,100.0
15,1.5,14,35,75,True,0.01,138866.69429304285,38.86669429304285,0.5528772682187079,25.004633359479,12,33.33333333333333
15,2.0,14,25,65,True,0.01,213550.85366131563,113.55085366131563,0.9087838180138337,9.199820157532278,4,100.0
15,2.5,14,35,65,True,0.01,138866.69429304285,38.86669429304285,0.5528772682187079,25.004633359479,12,33.33333333333333
15,2.5,14,35,70,True,0.01,222826.8072149536,122.82680721495358,0.8656807110252208,21.435191513689258,3,66.66666666666666
15,2.5,14,35,75,True,0.01,150622.5443255752,50.622544325575205,0.6652021244407995,28.734416186280917,6,50.0
15,2.5,14,30,70,True,0.01,100000.0,0.0,0.0,0.0,0,0.0
15,2.5,14,30,65,True,0.01,150622.5443255752,50.622544325575205,0.6652021244407995,28.734416186280917,6,50.0
15,2.0,14,35,70,True,0.01,100000.0,0.0,0.0,0.0,0,0.0
15,2.0,14,30,75,True,0.01,150622.5443255752,50.622544325575205,0.6652021244407995,28.734416186280917,6,50.0
15,2.0,14,35,65,True,0.01,100000.0,0.0,0.0,0.0,0,0.0
15,2.0,14,35,75,True,0.01,150622.5443255752,50.622544325575205,0.6652021244407995,28.734416186280917,6,50.0
15,2.0,10,30,65,False,0.01,131842.72458045412,31.842724580454117,0.6404880991639117,21.435191513689272,1,100.0
25,2.5,10,35,65,False,0.01,150622.5443255752,50.622544325575205,0.6652021244407995,28.734416186280917,6,50.0
20,2.5,10,35,65,False,0.01,163790.01480750248,63.79001480750248,0.6738520413975525,21.435191513689272,1,100.0
25,1.5,14,35,75,False,0.01,150622.5443255752,50.622544325575205,0.6652021244407995,28.734416186280917,6,50.0
15,1.5,14,30,75,False,0.01,163790.01480750248,63.79001480750248,0.6738520413975525,21.435191513689272,1,100.0
20,1.5,14,35,75,False,0.01,150622.5443255752,50.622544325575205,0.6652021244407995,28.734416186280917,6,50.0
25,1.5,14,30,75,False,0.01,153699.35317795922,53.69935317795922,0.6676031332277051,21.435191513689258,2,100.0
20,2.0,14,35,75,False,0.01,150622.5443255752,50.622544325575205,0.6652021244407995,28.734416186280917,6,50.0
25,2.0,14,30,75,False,0.01,199401.7127417811,99.40171274178111,0.6857658979658502,21.435191513689258,2,100.0
25,2.0,14,35,75,False,0.01,150622.5443255752,50.622544325575205,0.6652021244407995,28.734416186280917,6,50.0
20,2.0,14,30,75,False,0.01,203780.4427010223,103.7804427010223,0.6866663177586656,21.435191513689272,2,100.0
20,1.5,14,30,75,False,0.01,90551.19509156058,-9.448804908439415,-0.9316135166007733,28.329227915031158,4,50.0
25,1.5,10,30,70,False,0.01,100000.0,0.0,0.0,0.0,0,0.0
15,1.5,10,30,70,False,0.01,90551.19509156058,-9.448804908439415,-0.9316135166007733,28.329227915031158,4,50.0
20,2.0,10,30,70,False,0.01,100000.0,0.0,0.0,0.0,0,0.0
20,2.0,10,30,65,False,0.01,90551.19509156058,-9.448804908439415,-0.9316135166007733,28.329227915031158,4,50.0
20,1.5,10,30,70,False,0.01,100000.0,0.0,0.0,0.0,0,0.0
15,1.5,14,30,70,False,0.01,90551.19509156058,-9.448804908439415,-0.9316135166007733,28.329227915031158,4,50.0
20,1.5,14,30,70,False,0.01,100000.0,0.0,0.0,0.0,0,0.0
25,2.0,14,30,70,False,0.01,90551.19509156058,-9.448804908439415,-0.9316135166007733,28.329227915031158,4,50.0
25,1.5,14,30,70,False,0.01,100000.0,0.0,0.0,0.0,0,0.0
25,1.5,14,35,70,False,0.01,90551.19509156058,-9.448804908439415,-0.9316135166007733,28.329227915031158,4,50.0
15,1.5,10,25,75,False,0.01,100000.0,0.0,0.0,0.0,0,0.0
15,1.5,10,30,75,False,0.01,90551.19509156058,-9.448804908439415,-0.9316135166007733,28.329227915031158,4,50.0
20,1.5,10,30,75,False,0.01,100000.0,0.0,0.0,0.0,0,0.0
20,1.5,10,25,75,False,0.01,90551.19509156058,-9.448804908439415,-0.9316135166007733,28.329227915031158,4,50.0
20,2.0,10,30,75,False,0.01,100000.0,0.0,0.0,0.0,0,0.0
20,2.0,10,25,75,False,0.01,90551.19509156058,-9.448804908439415,-0.9316135166007733,28.329227915031158,4,50.0
25,1.5,10,30,75,False,0.01,100000.0,0.0,0.0,0.0,0,0.0
25,1.5,10,25,75,False,0.01,138866.69429304285,38.86669429304285,0.5528772682187079,25.004633359479,12,33.33333333333333
20,2.0,14,35,70,False,0.01,117695.97729516287,17.69597729516287,0.5872309298460568,21.435191513689272,1,100.0
25,2.0,14,35,70,False,0.01,138866.69429304285,38.86669429304285,0.5528772682187079,25.004633359479,12,33.33333333333333
25,2.0,10,30,75,False,0.01,131842.72458045412,31.842724580454117,0.6404880991639117,21.435191513689272,1,100.0
25,2.0,10,25,75,False,0.01,138866.69429304285,38.86669429304285,0.5528772682187079,25.004633359479,12,33.33333333333333
20,1.5,14,35,70,False,0.01,156638.28726554787,56.63828726554787,1.1286303474460373,22.85857151280743,1,0.0
20,2.0,14,30,70,False,0.01,138866.69429304285,38.86669429304285,0.5528772682187079,25.004633359479,12,33.33333333333333
15,1.5,10,30,65,False,0.01,117695.97729516287,17.69597729516287,0.5872309298460568,21.435191513689272,1,100.0
25,1.5,10,30,65,False,0.01,138866.69429304285,38.86669429304285,0.5528772682187079,25.004633359479,12,33.33333333333333
20,1.5,10,30,65,False,0.01,131842.72458045412,31.842724580454117,0.6404880991639117,21.435191513689272,1,100.0
15,1.5,10,35,75,True,0.01,138866.69429304285,38.86669429304285,0.5528772682187079,25.004633359479,12,33.33333333333333
15,2.0,10,35,70,True,0.01,156638.28726554787,56.63828726554787,1.1286303474460373,22.85857151280743,1,0.0
15,2.0,10,25,70,True,0.01,138866.69429304285,38.86669429304285,0.5528772682187079,25.004633359479,12,33.33333333333333
15,2.0,10,30,70,True,0.01,161496.9813616744,61.49698136167441,1.0097221413186515,21.435191513689258,3,100.0
15,2.0,10,35,75,True,0.01,138866.69429304285,38.86669429304285,0.5528772682187079,25.004633359479,12,33.33333333333333
15,2.0,10,30,75,True,0.01,186296.04832722092,86.29604832722092,0.9864958780570862,21.435191513689258,3,100.0
15,2.0,10,35,65,True,0.01,138866.69429304285,38.86669429304285,0.5528772682187079,25.004633359479,12,33.33333333333333
15,2.0,10,30,65,True,0.01,190695.0359483006,90.69503594830059,0.9487915749019838,22.85857151280744,2,50.0
15,2.0,10,25,65,True,0.01,150622.5443255752,50.622544325575205,0.6652021244407995,28.734416186280917,6,50.0
15,2.0,10,25,75,True,0.01,100000.0,0.0,0.0,0.0,0,0.0
15,2.5,10,25,70,True,0.01,150622.5443255752,50.622544325575205,0.6652021244407995,28.734416186280917,6,50.0
15,2.5,10,25,75,True,0.01,100000.0,0.0,0.0,0.0,0,0.0
15,2.5,10,30,75,True,0.01,150622.5443255752,50.622544325575205,0.6652021244407995,28.734416186280917,6,50.0
15,2.5,10,30,70,True,0.01,100000.0,0.0,0.0,0.0,0,0.0
15,2.5,10,30,65,True,0.01,150622.5443255752,50.622544325575205,0.6652021244407995,28.734416186280917,6,50.0
15,2.5,10,35,70,True,0.01,131842.72458045412,31.842724580454117,0.6404880991639117,21.435191513689272,1,100.0
15,2.5,10,35,75,True,0.01,150622.5443255752,50.622544325575205,0.6652021244407995,28.734416186280917,6,50.0
15,2.5,10,35,65,True,0.01,156638.28726554787,56.63828726554787,1.1286303474460373,22.85857151280743,1,0.0
15,2.5,10,25,65,True,0.01,150622.5443255752,50.622544325575205,0.6652021244407995,28.734416186280917,6,50.0
15,1.5,10,30,75,True,0.01,156638.28726554787,56.63828726554787,1.1286303474460373,22.85857151280743,1,0.0
15,1.5,10,35,65,True,0.01,150622.5443255752,50.622544325575205,0.6652021244407995,28.734416186280917,6,50.0
15,1.5,10,35,70,True,0.01,160508.35043139188,60.508350431391875,0.6720484738878727,21.435191513689258,2,100.0
15,1.5,10,30,70,True,0.01,150622.5443255752,50.622544325575205,0.6652021244407995,28.734416186280917,6,50.0
15,1.5,10,30,65,True,0.01,190695.0359483006,90.69503594830059,0.9487915749019838,22.85857151280744,2,50.0
15,1.5,10,25,75,True,0.01,150622.5443255752,50.622544325575205,0.6652021244407995,28.734416186280917,6,50.0
15,1.5,10,25,70,True,0.01,194882.57303363492,94.88257303363493,0.9361504604382721,22.85857151280744,2,50.0
15,1.5,10,25,65,True,0.01,90551.19509156058,-9.448804908439415,-0.9316135166007733,28.329227915031158,4,50.0
15,1.5,14,35,65,False,0.01,100000.0,0.0,0.0,0.0,0,0.0
25,2.5,10,30,65,False,0.01,90551.19509156058,-9.448804908439415,-0.9316135166007733,28.329227915031158,4,50.0
25,2.5,10,25,70,False,0.01,100000.0,0.0,0.0,0.0,0,0.0
25,2.5,10,25,65,False,0.01,90551.19509156058,-9.448804908439415,-0.9316135166007733,28.329227915031158,4,50.0
25,2.5,10,30,70,False,0.01,100000.0,0.0,0.0,0.0,0,0.0
15,2.0,14,30,65,False,0.01,90551.19509156058,-9.448804908439415,-0.9316135166007733,28.329227915031158,4,50.0
20,2.5,14,30,65,False,0.01,100000.0,0.0,0.0,0.0,0,0.0
15,2.5,14,30,65,False,0.01,90551.19509156058,-9.448804908439415,-0.9316135166007733,28.329227915031158,4,50.0
15,2.5,10,30,70,False,0.01,100000.0,0.0,0.0,0.0,0,0.0
20,2.5,10,30,65,False,0.01,90551.19509156058,-9.448804908439415,-0.9316135166007733,28.329227915031158,4,50.0
20,2.5,10,25,70,False,0.01,100000.0,0.0,0.0,0.0,0,0.0
20,2.5,10,30,70,False,0.01,90551.19509156058,-9.448804908439415,-0.9316135166007733,28.329227915031158,4,50.0
20,2.5,14,35,65,False,0.01,100000.0,0.0,0.0,0.0,0,0.0
25,2.5,14,30,65,False,0.01,90551.19509156058,-9.448804908439415,-0.9316135166007733,28.329227915031158,4,50.0
25,2.5,14,35,65,False,0.01,100000.0,0.0,0.0,0.0,0,0.0
